[Header]
; Displex Transport Data File (default extension .dat)
; Copyright 2016, Hechang LEI, hlei@ruc.edu.cn. All rights reserved.
BYAPP, Displex, 2.0
INFO, Displex AC Transport Measurement Program, Release 2.0.
INFO, Channel 1, Temperature Sensor
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 
INFO, Sample 1 Length (cm): 0.000000; Width (cm): 0.000000; Thickness (cm): 0.000000. 

[Data]
Timestamp(s),Time(s),Temp(K),R1(Ohm),R2(Ohm),R3(Ohm),R4(Ohm)
3867313004.30,2220.73,17.481610,,,0.012312300,
3867313017.50,2233.93,17.574565,,,,0.017465800
3867313030.92,2247.35,17.670595,1.951070000,,,
3867313044.11,2260.54,17.761270,,1.383980000,,
3867313057.32,2273.75,17.854295,,,0.012323200,
3867313070.53,2286.96,17.946915,,,,0.017511000
3867313083.78,2300.21,18.040330,1.953650000,,,
3867313097.04,2313.47,18.133965,,1.384560000,,
3867313110.24,2326.67,18.226060,,,0.012337400,
3867313123.45,2339.88,18.318780,,,,0.017539000
3867313136.94,2353.37,18.414770,1.954600000,,,
3867313150.16,2366.59,18.506725,,1.385100000,,
3867313163.37,2379.80,18.598635,,,0.012273200,
3867313176.57,2393.00,18.693010,,,,0.017586200
3867313189.81,2406.24,18.785315,1.954540000,,,
3867313203.09,2419.52,18.878175,,1.385730000,,
3867313216.29,2432.72,18.971090,,,0.012309200,
3867313229.50,2445.93,19.063850,,,,0.017612200
3867313242.94,2459.37,19.159815,1.955760000,,,
3867313256.21,2472.64,19.251225,,1.386470000,,
3867313269.42,2485.85,19.344395,,,0.012344400,
3867313282.62,2499.05,19.438215,,,,0.017655300
3867313295.88,2512.31,19.529940,1.961300000,,,
3867313309.13,2525.56,19.623525,,1.387180000,,
3867313322.34,2538.77,19.716385,,,0.012324400,
3867313335.54,2551.97,19.808935,,,,0.017672200
3867313348.94,2565.37,19.904235,1.958150000,,,
3867313362.16,2578.59,19.995640,,1.387960000,,
3867313375.36,2591.79,20.089155,,,0.012409600,
3867313388.57,2605.00,20.181620,,,,0.017698900
3867313401.82,2618.25,20.274675,1.959330000,,,
3867313415.08,2631.51,20.368085,,1.388790000,,
3867313428.29,2644.72,20.461085,,,0.012370600,
3867313441.49,2657.92,20.552980,,,,0.017746800
3867313454.93,2671.36,20.649280,1.960220000,,,
3867313468.20,2684.63,20.741225,,1.389760000,,
3867313481.41,2697.84,20.834075,,,0.012356900,
3867313494.62,2711.05,20.927585,,,,0.017785000
3867313507.86,2724.29,21.020475,1.966010000,,,
3867313521.13,2737.56,21.112975,,1.390640000,,
3867313534.34,2750.77,21.204695,,,0.012396000,
3867313547.54,2763.97,21.298010,,,,0.017841000
3867313560.93,2777.36,21.393670,1.965090000,,,
3867313574.15,2790.58,21.484070,,1.391500000,,
3867313587.36,2803.79,21.576630,,,0.012477800,
3867313600.57,2817.00,21.669995,,,,0.017885600
3867313613.82,2830.25,21.763220,1.966550000,,,
3867313627.08,2843.51,21.856125,,1.392930000,,
3867313640.28,2856.71,21.947920,,,0.012562000,
3867313653.49,2869.92,22.040760,,,,0.017920300
3867313666.95,2883.38,22.136950,1.968190000,,,
3867313680.20,2896.63,22.228620,,1.394040000,,
3867313693.41,2909.84,22.320315,,,0.012558000,
3867313706.62,2923.05,22.415290,,,,0.017969300
3867313719.87,2936.30,22.506715,1.972380000,,,
3867313733.13,2949.56,22.599040,,1.395140000,,
3867313746.33,2962.76,22.691560,,,0.012222900,
3867313759.54,2975.97,22.784250,,,,0.018016100
3867313772.96,2989.39,22.880505,1.972190000,,,
3867313786.15,3002.58,22.971185,,1.396290000,,
3867313799.36,3015.79,23.064115,,,0.012576600,
3867313812.56,3028.99,23.156795,,,,0.018063000
3867313825.80,3042.23,23.250185,1.974310000,,,
3867313839.07,3055.50,23.343145,,1.397490000,,
3867313852.28,3068.71,23.435200,,,0.012621100,
3867313865.49,3081.92,23.528045,,,,0.018116900
3867313878.99,3095.42,23.624105,1.975840000,,,
3867313892.20,3108.63,23.715470,,1.398560000,,
3867313905.40,3121.83,23.808195,,,0.012672400,
3867313918.61,3135.04,23.902225,,,,0.018158400
3867313931.85,3148.28,23.993745,1.978530000,,,
3867313945.12,3161.55,24.086685,,1.399690000,,
3867313958.33,3174.76,24.179845,,,0.012243600,
3867313971.53,3187.96,24.272090,,,,0.018202900
3867313984.93,3201.36,24.367270,1.980140000,,,
3867313998.15,3214.58,24.458585,,1.400800000,,
3867314011.35,3227.78,24.551310,,,0.012171800,
3867314024.56,3240.99,24.644325,,,,0.018251900
3867314037.82,3254.25,24.736875,1.981400000,,,
3867314051.07,3267.50,24.828590,,1.401920000,,
3867314064.28,3280.71,24.921505,,,0.012151300,
3867314077.48,3293.91,25.014515,,,,0.018342500
3867314090.92,3307.35,25.110800,1.982940000,,,
3867314104.20,3320.63,25.201290,,1.402950000,,
3867314117.40,3333.83,25.293595,,,0.012192000,
3867314130.61,3347.04,25.387695,,,,0.018347400
3867314143.85,3360.28,25.480085,1.983850000,,,
3867314157.12,3373.55,25.574020,,1.403860000,,
3867314170.32,3386.75,25.666485,,,0.012352700,
3867314183.53,3399.96,25.759590,,,,0.018398500
3867314197.00,3413.43,25.855280,1.985320000,,,
3867314210.24,3426.67,25.946080,,1.404950000,,
3867314223.45,3439.88,26.039205,,,0.012623800,
3867314236.66,3453.09,26.133595,,,,0.018446300
3867314249.90,3466.33,26.224145,1.985680000,,,
3867314263.17,3479.60,26.315130,,1.406240000,,
3867314276.37,3492.80,26.407755,,,0.012648900,
3867314289.58,3506.01,26.503380,,,,0.018560800
3867314302.92,3519.35,26.599100,1.989930000,,,
3867314316.19,3532.62,26.690610,,1.407370000,,
3867314329.40,3545.83,26.782180,,,0.012415800,
3867314342.60,3559.03,26.876570,,,,0.018542100
3867314355.86,3572.29,26.966150,1.991320000,,,
3867314369.12,3585.55,27.061595,,1.408410000,,
3867314382.32,3598.75,27.156030,,,0.012694000,
3867314395.53,3611.96,27.245545,,,,0.018590000
3867314408.93,3625.36,27.343715,1.993580000,,,
3867314422.14,3638.57,27.431415,,1.409500000,,
3867314435.35,3651.78,27.524405,,,0.012698600,
3867314448.55,3664.98,27.619870,,,,0.018631000
3867314461.81,3678.24,27.710590,1.996190000,,,
3867314475.06,3691.49,27.803500,,1.410590000,,
3867314488.27,3704.70,27.897110,,,0.012748100,
3867314501.47,3717.90,27.986485,,,,0.018694700
3867314514.94,3731.37,28.080240,1.997610000,,,
3867314528.19,3744.62,28.175045,,1.411670000,,
3867314541.39,3757.82,28.269645,,,0.012717100,
3867314554.60,3771.03,28.364595,,,,0.018740300
3867314567.84,3784.27,28.455375,1.999660000,,,
3867314581.11,3797.54,28.545645,,1.412800000,,
3867314594.32,3810.75,28.638735,,,0.012650200,
3867314607.52,3823.95,28.732760,,,,0.018797500
3867314620.92,3837.35,28.825900,2.001390000,,,
3867314634.13,3850.56,28.921295,,1.413970000,,
3867314647.34,3863.77,29.012135,,,0.012686300,
3867314660.55,3876.98,29.102935,,,,0.018846900
3867314673.79,3890.22,29.195720,2.002820000,,,
3867314687.06,3903.49,29.296905,,1.415200000,,
3867314700.27,3916.70,29.381915,,,0.012824100,
3867314713.47,3929.90,29.474295,,,,0.018892000
3867314726.94,3943.37,29.570930,2.004870000,,,
3867314740.18,3956.61,29.666745,,1.416260000,,
3867314753.39,3969.82,29.753145,,,0.012847400,
3867314766.59,3983.02,29.850235,,,,0.018935300
3867314779.84,3996.27,29.943580,2.006570000,,,
3867314793.11,4009.54,30.010455,,1.417090000,,
3867314806.31,4022.74,29.993030,,,0.012698100,
3867314819.52,4035.95,29.995800,,,,0.018969400
3867314843.61,4060.04,29.999895,2.007020000,,,
3867314856.83,4073.26,30.002860,,1.417090000,,
3867314870.04,4086.47,29.999915,,,0.012943600,
3867314883.25,4099.68,30.000140,,,,0.018976200
3867314902.60,4119.03,30.002000,2.008500000,,,
3867314915.86,4132.29,30.107060,,1.417770000,,
3867314929.07,4145.50,30.194635,,,0.012916500,
3867314942.27,4158.70,30.287275,,,,0.019016500
3867314955.52,4171.95,30.379990,2.009940000,,,
3867314968.79,4185.22,30.477060,,1.419020000,,
3867314981.99,4198.42,30.565660,,,0.012850300,
3867314995.20,4211.63,30.661050,,,,0.019087200
3867315008.44,4224.87,30.756765,2.010290000,,,
3867315021.71,4238.14,30.844025,,1.420180000,,
3867315034.91,4251.34,30.939530,,,0.012987000,
3867315048.12,4264.55,31.030540,,,,0.019125200
3867315061.38,4277.81,31.126645,2.011390000,,,
3867315074.64,4291.07,31.220315,,1.421240000,,
3867315087.84,4304.27,31.312270,,,0.013032000,
3867315101.05,4317.48,31.403895,,,,0.019219400
3867315114.30,4330.73,31.495770,2.014390000,,,
3867315127.56,4343.99,31.588000,,1.422400000,,
3867315140.76,4357.19,31.686310,,,0.013068600,
3867315153.97,4370.40,31.775915,,,,0.019229200
3867315167.22,4383.65,31.879270,2.015970000,,,
3867315180.48,4396.91,31.944160,,1.423590000,,
3867315193.69,4410.12,32.063365,,,0.013029800,
3867315206.90,4423.33,32.149330,,,,0.019286100
3867315220.15,4436.58,32.241540,2.016420000,,,
3867315233.41,4449.84,32.332810,,1.424720000,,
3867315246.61,4463.04,32.429635,,,0.013079000,
3867315259.82,4476.25,32.517030,,,,0.019326200
3867315273.15,4489.58,32.612950,2.019500000,,,
3867315286.43,4502.86,32.720445,,1.425700000,,
3867315299.64,4516.07,32.781685,,,0.012514300,
3867315312.84,4529.27,32.897090,,,,0.019428100
3867315326.09,4542.52,32.985505,2.021170000,,,
3867315339.35,4555.78,33.078070,,1.426930000,,
3867315352.56,4568.99,33.170450,,,0.012436300,
3867315365.77,4582.20,33.261360,,,,0.019513700
3867315379.17,4595.60,33.362910,2.023080000,,,
3867315392.38,4608.81,33.449640,,1.428120000,,
3867315405.58,4622.01,33.544425,,,0.012475700,
3867315418.79,4635.22,33.635730,,,,0.019529700
3867315432.04,4648.47,33.728175,2.024500000,,,
3867315445.30,4661.73,33.822115,,1.429120000,,
3867315458.51,4674.94,33.910180,,,0.013137000,
3867315471.71,4688.14,34.022510,,,,0.019581700
3867315485.05,4701.48,34.097295,2.026080000,,,
3867315498.23,4714.66,34.193625,,1.430380000,,
3867315511.43,4727.86,34.285890,,,0.013087400,
3867315524.64,4741.07,34.383110,,,,0.019685000
3867315537.89,4754.32,34.469110,2.026910000,,,
3867315551.15,4767.58,34.568610,,1.431470000,,
3867315564.36,4780.79,34.656690,,,0.013336300,
3867315577.56,4793.99,34.752870,,,,0.019711700
3867315590.92,4807.35,34.846240,2.029530000,,,
3867315604.18,4820.61,34.937715,,1.432600000,,
3867315617.38,4833.81,35.030265,,,0.013282000,
3867315630.59,4847.02,35.124105,,,,0.019774000
3867315643.84,4860.27,35.218825,2.030620000,,,
3867315657.10,4873.53,35.310275,,1.433760000,,
3867315670.31,4886.74,35.403280,,,0.013324200,
3867315683.51,4899.94,35.496065,,,,0.019817400
3867315696.94,4913.37,35.590370,2.033420000,,,
3867315710.12,4926.55,35.685630,,1.435350000,,
3867315723.33,4939.76,35.776240,,,0.013266500,
3867315736.54,4952.97,35.872210,,,,0.019926600
3867315749.79,4966.22,35.959335,2.035160000,,,
3867315763.05,4979.48,36.058445,,1.436530000,,
3867315776.25,4992.68,36.145030,,,0.013314800,
3867315789.46,5005.89,36.241700,,,,0.019998900
3867315802.94,5019.37,36.337000,2.036720000,,,
3867315816.17,5032.60,36.431475,,1.437650000,,
3867315829.38,5045.81,36.520315,,,0.013336100,
3867315842.59,5059.02,36.615755,,,,0.020058000
3867315855.87,5072.30,36.706950,2.037410000,,,
3867315869.10,5085.53,36.800740,,1.438660000,,
3867315882.30,5098.73,36.894990,,,0.013450300,
3867315895.51,5111.94,36.983035,,,,0.020125100
3867315908.94,5125.37,37.081675,2.040010000,,,
3867315922.12,5138.55,37.170825,,1.439700000,,
3867315935.32,5151.75,37.264075,,,0.013415700,
3867315948.53,5164.96,37.359380,,,,0.020162400
3867315961.78,5178.21,37.447815,2.041700000,,,
3867315975.04,5191.47,37.548120,,1.440840000,,
3867315988.25,5204.68,37.637280,,,0.013549400,
3867316001.46,5217.89,37.729270,,,,0.020298800
3867316014.92,5231.35,37.826915,2.043410000,,,
3867316028.17,5244.60,37.917250,,1.441850000,,
3867316041.37,5257.80,38.008825,,,0.013474800,
3867316054.58,5271.01,38.097025,,,,0.020361100
3867316067.83,5284.26,38.201910,2.044340000,,,
3867316081.09,5297.52,38.287255,,1.442790000,,
3867316094.30,5310.73,38.382425,,,0.013756600,
3867316107.50,5323.93,38.482585,,,,0.020393100
3867316120.93,5337.36,38.561240,2.047140000,,,
3867316134.12,5350.55,38.658865,,1.443780000,,
3867316147.32,5363.75,38.755175,,,0.013732300,
3867316160.53,5376.96,38.847755,,,,0.020472000
3867316173.78,5390.21,38.944345,2.048880000,,,
3867316187.04,5403.47,39.032955,,1.445070000,,
3867316200.24,5416.67,39.124760,,,0.013618300,
3867316213.45,5429.88,39.212480,,,,0.020566700
3867316226.93,5443.36,39.323080,2.050590000,,,
3867316240.16,5456.59,39.407295,,1.446090000,,
3867316253.37,5469.80,39.495665,,,0.013604300,
3867316266.58,5483.01,39.589905,,,,0.020574100
3867316279.83,5496.26,39.689145,2.049560000,,,
3867316293.09,5509.52,39.778165,,1.447010000,,
3867316306.29,5522.72,39.877045,,,0.013927200,
3867316319.50,5535.93,39.953350,,,,0.020617000
3867316332.96,5549.39,40.062820,2.050610000,,,
3867316346.21,5562.64,40.155550,,1.447910000,,
3867316359.42,5575.85,40.242850,,,0.013994700,
3867316372.62,5589.05,40.340925,,,,0.020720500
3867316385.91,5602.34,40.429835,2.051560000,,,
3867316399.14,5615.57,40.522995,,1.448810000,,
3867316412.34,5628.77,40.620955,,,0.013987700,
3867316425.55,5641.98,40.705475,,,,0.020847800
3867316438.98,5655.41,40.803710,2.053270000,,,
3867316452.16,5668.59,40.902490,,1.449720000,,
3867316465.37,5681.80,40.988050,,,0.014052400,
3867316478.57,5695.00,41.082280,,,,0.020890500
3867316491.82,5708.25,41.177980,2.055430000,,,
3867316505.08,5721.51,41.270500,,1.450460000,,
3867316518.29,5734.72,41.367105,,,0.013954100,
3867316531.50,5747.93,41.445145,,,,0.020973900
3867316544.93,5761.36,41.548215,2.059560000,,,
3867316558.11,5774.54,41.637800,,1.451410000,,
3867316571.31,5787.74,41.743730,,,0.014108700,
3867316584.52,5800.95,41.819730,,,,0.021045700
3867316597.77,5814.20,41.916380,2.058680000,,,
3867316611.03,5827.46,42.009090,,1.452280000,,
3867316624.24,5840.67,42.117165,,,0.014155400,
3867316637.44,5853.87,42.199835,,,,0.021063900
3867316650.76,5867.19,42.282865,2.060180000,,,
3867316663.96,5880.39,42.393860,,1.453100000,,
3867316677.16,5893.59,42.467495,,,0.014218500,
3867316690.37,5906.80,42.566145,,,,0.021138400
3867316703.61,5920.04,42.672155,2.062410000,,,
3867316716.88,5933.31,42.755935,,1.453980000,,
3867316730.09,5946.52,42.844875,,,0.014283900,
3867316743.29,5959.72,42.946835,,,,0.021261600
3867316756.55,5972.98,43.044540,2.066490000,,,
3867316769.80,5986.23,43.122710,,1.454730000,,
3867316783.01,5999.44,43.220775,,,0.014294400,
3867316796.22,6012.65,43.314250,,,,0.021348000
3867316809.47,6025.90,43.411185,2.068120000,,,
3867316822.73,6039.16,43.494815,,1.455540000,,
3867316835.93,6052.36,43.596660,,,0.014326800,
3867316849.14,6065.57,43.686970,,,,0.021403400
3867316862.39,6078.82,43.773760,2.066530000,,,
3867316875.65,6092.08,43.883945,,1.456320000,,
3867316888.86,6105.29,43.956430,,,0.014397300,
3867316902.06,6118.49,44.062350,,,,0.021470500
3867316915.32,6131.75,44.154380,2.068090000,,,
3867316928.58,6145.01,44.240100,,1.457050000,,
3867316941.78,6158.21,44.338645,,,0.014454100,
3867316954.99,6171.42,44.428460,,,,0.021567500
3867316968.24,6184.67,44.527345,2.072840000,,,
3867316981.50,6197.93,44.605215,,1.457830000,,
3867316994.71,6211.14,44.710475,,,0.014504700,
3867317007.91,6224.34,44.808885,,,,0.021555300
3867317021.17,6237.60,44.898040,2.074290000,,,
3867317034.42,6250.85,44.982785,,1.458770000,,
3867317047.63,6264.06,45.073650,,,0.014545100,
3867317060.84,6277.27,45.180185,,,,0.021614000
3867317074.09,6290.52,45.268530,2.072860000,,,
3867317087.35,6303.78,45.353105,,1.459450000,,
3867317100.56,6316.99,45.450195,,,0.014572000,
3867317113.76,6330.19,45.552945,,,,0.021701800
3867317127.15,6343.58,45.627740,2.077220000,,,
3867317140.37,6356.80,45.729210,,1.460150000,,
3867317153.58,6370.01,45.836975,,,0.014607700,
3867317166.79,6383.22,45.916060,,,,0.021787000
3867317180.04,6396.47,46.010760,2.078710000,,,
3867317193.30,6409.73,46.101700,,1.460880000,,
3867317206.50,6422.93,46.189865,,,0.014581600,
3867317219.71,6436.14,46.297615,,,,0.021925200
3867317233.07,6449.50,46.379825,2.080330000,,,
3867317246.32,6462.75,46.473165,,1.461510000,,
3867317259.53,6475.96,46.571370,,,0.014637800,
3867317272.73,6489.16,46.662410,,,,0.021896000
3867317285.98,6502.41,46.751090,2.080990000,,,
3867317299.24,6515.67,46.839105,,1.462150000,,
3867317312.45,6528.88,46.944970,,,0.014700300,
3867317325.66,6542.09,47.031080,,,,0.021972600
3867317339.02,6555.45,47.128385,2.082720000,,,
3867317352.27,6568.70,47.216470,,1.462690000,,
3867317365.48,6581.91,47.311190,,,0.014725100,
3867317378.68,6595.11,47.406825,,,,0.022069700
3867317391.93,6608.36,47.488600,2.083500000,,,
3867317405.19,6621.62,47.590150,,1.463180000,,
3867317418.40,6634.83,47.686580,,,0.014791900,
3867317431.60,6648.03,47.771715,,,,0.022112500
3867317445.04,6661.47,47.869300,2.084300000,,,
3867317458.32,6674.75,47.966930,,1.463670000,,
3867317471.52,6687.95,48.052125,,,0.014831000,
3867317484.73,6701.16,48.148295,,,,0.022152100
3867317497.98,6714.41,48.241780,2.085250000,,,
3867317511.24,6727.67,48.332695,,1.464170000,,
3867317524.45,6740.88,48.428460,,,0.014890500,
3867317537.65,6754.08,48.504725,,,,0.022216200
3867317551.04,6767.47,48.620645,2.086690000,,,
3867317564.26,6780.69,48.709720,,1.464740000,,
3867317577.47,6793.90,48.797745,,,0.014924000,
3867317590.68,6807.11,48.890535,,,,0.022306900
